HELCOM_subbasin;STATN;MSTS_calc;BotDepth_considered[m];Ref
Gulf of Riga;142;1;44;"""Indicator evaluation and first assessment: an example of combined Estonian-Latvian evaluation of MSTS in the Gulf of Riga"" by A.Labuce, A.Põllumäe and E.Gorokhova (BLUES project)"
Gulf of Riga;121A;1;44;"""Indicator evaluation and first assessment: an example of combined Estonian-Latvian evaluation of MSTS in the Gulf of Riga"" by A.Labuce, A.Põllumäe and E.Gorokhova (BLUES project)"
Gulf of Riga;114A;1;30;"""Indicator evaluation and first assessment: an example of combined Estonian-Latvian evaluation of MSTS in the Gulf of Riga"" by A.Labuce, A.Põllumäe and E.Gorokhova (BLUES project)"
Kattegat;N14 FALKENBERG;;;
Kattegat;ANHOLT E;;;
Kiel Bay;OMBMPN3;;;
Northern Baltic Proper;H1;;;
Northern Baltic Proper;23;;;
Northern Baltic Proper;25;;;
Northern Baltic Proper;85;;;
Northern Baltic Proper;H2;;;
Northern Baltic Proper;LL12;;;
Northern Baltic Proper;LL17;;;
The Quark;B7;;;
The Quark;NB1 / B3;;;
The Quark;F16;;;
Western Gotland Basin;B1;1;40;Data table 1 in: https://helcom.fi/media/core%20indicators/Zooplankton-mean-size-and-total-stock-HELCOM-core-indicator-2018.pdf
Western Gotland Basin;BY31 LANDSORTSDJ;1;30;Data table 1 in: https://helcom.fi/media/core%20indicators/Zooplankton-mean-size-and-total-stock-HELCOM-core-indicator-2018.pdf
